auc,acc,f1,precision,recall,specificity,loss,threshold,model_family,fourier_mode,regime,seed,run_name
0.4660913311668352,0.5191997129014894,0.6337229170938419,0.5464403583215465,0.7541890353017732,0.2302460492098419,1.7118663489818573,0.5,dino,magnitude,finetune,7,
0.4856850335416033,0.5608289969495783,0.6714544600308745,0.571526508226691,0.8137302749308606,0.2498499699939988,1.6327125145630403,0.5,dino,magnitude,finetune,42,
0.5255051335629091,0.5490759016687601,0.6647545357524013,0.5633691351045789,0.810639336261591,0.2274454890978195,1.3825350268320604,0.5,dino,magnitude,finetune,123,
0.4881394531712589,0.5366050601112506,0.6642833929151771,0.5531500324745616,0.8312998210509192,0.1742348469693938,1.1703143607486377,0.5,dino,magnitude,finetune,2024,
0.4569373285751993,0.5330163287277947,0.6526062871254088,0.5533046627433228,0.7953473238978364,0.2104420884176835,1.493011087179184,0.5,dino,magnitude,finetune,2025,
0.4865209417351178,0.5287995693522339,0.6473747817913253,0.5511603978506917,0.7842850170815032,0.2146429285857171,1.681185544891791,0.5,dino,phase,finetune,7,
0.5193840785401265,0.5320294275973443,0.6300184423322457,0.5585460948308388,0.7224662436961119,0.2978595719143829,1.2940882701765408,0.5,dino,phase,finetune,42,
0.5433918083437739,0.55580477301274,0.6697351744379961,0.5676164631388512,0.816658532617537,0.2350470094018803,1.3237667043100705,0.5,dino,phase,finetune,123,
0.5478142155192061,0.5509599856450744,0.6491412548194883,0.5703375215570338,0.7532129494062144,0.3022604520904181,1.3630882366137071,0.5,dino,phase,finetune,2024,
0.5061227635147982,0.5423470303247802,0.6552213585670835,0.5604764107308048,0.7885147226289246,0.2396479295859171,1.8014624200083995,0.5,dino,phase,finetune,2025,
0.5,0.5514982953525929,0.7109234950558029,0.5514982953525929,1.0,0.0,1.022349075160243,0.5,dino,complex,finetune,7,
0.5,0.5514982953525929,0.7109234950558029,0.5514982953525929,1.0,0.0,1.0397212173451076,0.5,dino,complex,finetune,42,
0.5,0.4485017046474071,0.0,0.0,0.0,1.0,1.006715959445997,0.5,dino,complex,finetune,123,
0.5,0.5514982953525929,0.7109234950558029,0.5514982953525929,1.0,0.0,1.0194855853915217,0.5,dino,complex,finetune,2024,
0.5,0.5514982953525929,0.7109234950558029,0.5514982953525929,1.0,0.0,1.030994552102956,0.5,dino,complex,finetune,2025,
0.7711338265700969,0.7248340211735151,0.7594698455023136,0.7331920048455481,0.787701317715959,0.6475295059011802,1.380869213830341,0.5,dino,concat,finetune,7,seed_7
0.743729956337778,0.682935582271667,0.7241217798594848,0.6960828455650608,0.7545143972669595,0.5949189837967593,1.472832583568313,0.5,dino,concat,finetune,42,seed_42
0.7810024669648425,0.7069800825408218,0.7472527472527473,0.712619926199262,0.7854237839596551,0.6105221044208842,1.1993145495653152,0.5,dino,concat,finetune,123,seed_123
0.7536127039951668,0.6919971290148932,0.7245888487765744,0.7147831592276037,0.734667317390597,0.6395279055811163,1.4931016557595946,0.5,dino,concat,finetune,2024,seed_2024
0.7295539146872811,0.683832765117531,0.730704569769219,0.6890041792765528,0.7777777777777778,0.5683136627325465,1.5231844037771225,0.5,dino,concat,finetune,2025,seed_2025
0.512813787745348,0.5577785752736407,0.6745030707257479,0.5676967541129391,0.8308117781031398,0.2220444088817763,1.7151498252695256,0.5,dino,frequency_3,finetune,7,seed_7
0.5172728868207349,0.5535618158980801,0.667379679144385,0.56643594689663,0.8121034651049293,0.2356471294258851,1.177888104861433,0.5,dino,frequency_3,finetune,42,seed_42
0.462792639868465,0.5191099946169029,0.6575079872204472,0.5414079764284963,0.8369936554416789,0.1282256451290258,1.570687391541221,0.5,dino,frequency_3,finetune,123,seed_123
0.5274239978953982,0.5808361744123453,0.6997815190849506,0.5783324482209241,0.8857979502196194,0.2058411682336467,1.2269950834187595,0.5,dino,frequency_3,finetune,2024,seed_2024
0.4814155119945414,0.5418087206172618,0.6648290345868609,0.5572057205720572,0.823979176834228,0.1948389677935587,1.4185128252614627,0.5,dino,frequency_3,finetune,2025,seed_2025
0.7161545697784425,0.652790238650637,0.7357279431849222,0.6339884665175944,0.8763624532292175,0.377875575115023,1.4148417304862628,0.5,dino,concat_frequency,finetune,7,seed_7
