model_family,fourier_mode,regime,seed,test_auc,test_acc,test_f1,test_precision,test_recall,test_specificity,test_d_auc,test_d_acc,test_d_f1,test_d_precision,test_d_recall,test_d_specificity,delta_auc,delta_acc
resnet,frequency_3,finetune,7,0.7558217574675989,0.6864416560866626,0.7431141849815612,0.7008374241986717,0.7908189180123628,0.5460941728305971,0.5400993274777105,0.5463349217079699,0.6351319692167602,0.58943896555685,0.6885044803296756,0.3551712584727198,-0.21572242998988844,-0.1401067343786927
resnet,frequency_3,finetune,2025,0.741842128642713,0.6803684589468362,0.7295572916666667,0.708631826189078,0.7517561933969045,0.5843792685755522,0.5308863400493029,0.5449004380396489,0.6350639048038783,0.5878829913100241,0.6904787004648043,0.3491533723357645,-0.21095578859341013,-0.13546802090718724
resnet,concat_frequency,finetune,42,0.8353759574196332,0.7476737731317362,0.7610994317590491,0.8326710464891206,0.7008577315635631,0.8106234375402696,0.6820778804831023,0.6422309793511297,0.6841382522915079,0.6928898586621061,0.6756049643011165,0.5973557382541687,-0.15329807693653097,-0.1054427937806065
resnet,concat_frequency,finetune,123,0.844204501641135,0.7598366557294157,0.7753818000503755,0.8362086169811739,0.7228041592793139,0.809631195072292,0.7014917751137622,0.653283648535013,0.6904551610433963,0.7074438668288906,0.6742632612966601,0.6250740960284529,-0.14271272652737288,-0.10655300719440275
resnet,concat_frequency,finetune,2024,0.8240945514320384,0.7372421639268578,0.7513703545759962,0.8214484711340558,0.6923091667065983,0.797659854127471,0.6734979972887998,0.6231100265461921,0.6458137492898094,0.7003640844675965,0.5991470602328813,0.6553310481688617,-0.15059655414323858,-0.11413213738066574
resnet,concat_frequency,finetune,7,0.8319454869300458,0.7419798073065234,0.7507009643570245,0.8417949908892779,0.6773970961713547,0.8288188448751321,0.6895246868404306,0.6325138639274074,0.6635400679330733,0.6985696122059758,0.6318558627629498,0.6333986237468107,-0.14242080008961522,-0.10946594337911597
resnet,concat_frequency,finetune,2025,0.8330793156150843,0.7479101056901185,0.7653273710546378,0.8209338572651637,0.7167760793521492,0.7897734594469215,0.6862321261938841,0.649694691311206,0.7027372407456638,0.684467783551986,0.722008721069529,0.5524599881446355,-0.14684718942120023,-0.09821541437891246
xception,none,finetune,42,0.7730154748967348,0.7064364897470142,0.744034925457534,0.7440955448201825,0.7439743159710576,0.6559624751939384,0.6306890589702533,0.6022962730905154,0.6391062567018279,0.66630615640599,0.614039963582347,0.5865055024355043,-0.14232641592648154,-0.10414021665649886
xception,none,finetune,123,0.7659210433516126,0.7013415994767707,0.7471193760354424,0.7261871375713549,0.7692941683837271,0.6099713924898843,0.6296720220647054,0.6064513292332383,0.6508214388468159,0.6625265582494391,0.6395227370741291,0.5619829385840571,-0.1362490212869072,-0.09489027024353236
xception,none,finetune,2024,0.7767719111030211,0.7086843971046514,0.7506445117705727,0.7372088080651272,0.7645790406823518,0.6335274864049896,0.6284181383844509,0.6054620301516376,0.6457353514516535,0.6656390533748449,0.626987397575351,0.5765186464266385,-0.1483537727185702,-0.10322236695301379
xception,none,finetune,7,0.775040053723842,0.7065409157611832,0.7460838302850458,0.740477831163805,0.7517753605826825,0.6457178938687147,0.6286327195640347,0.6046595986743393,0.6436254279358505,0.6662324608189054,0.6225022761033111,0.5806680240199995,-0.14640733415980733,-0.10188131708684389
xception,none,finetune,2025,0.773838853808416,0.706343055944863,0.741968821836305,0.7478266795167586,0.7362020221380996,0.6661941702533439,0.6313033326706541,0.6035493852605429,0.636006277406886,0.671658175772174,0.6039484402702573,0.603012808948223,-0.1425355211377619,-0.1027936706843201
xception,magnitude,finetune,42,0.6949075623243298,0.6441436242422244,0.7050156497018129,0.671943933025324,0.7415113325985913,0.5132213087291565,0.5211391879118876,0.5442573936366084,0.6260457019676109,0.5912467205015504,0.6651971824236906,0.3816396484626685,-0.1737683744124422,-0.09988623060561597
xception,magnitude,finetune,123,0.7082427433086389,0.6576200761760292,0.715317859639983,0.6836597424832719,0.7500503138626671,0.5333367696708847,0.5349748908125005,0.5525015526499475,0.6356888135198865,0.596199684426092,0.6807801044611624,0.3800159789696142,-0.1732678524961384,-0.10511852352608175
xception,magnitude,finetune,2024,0.7087976570729813,0.6541410410724002,0.71878016517107,0.6734046205504802,0.7707125401312952,0.4973969743047859,0.5361785102757717,0.5518804926709426,0.6379324126293352,0.5943812321568952,0.68837031002923,0.3683539084044225,-0.17261914679720958,-0.1022605484014576
xception,magnitude,finetune,7,0.7099847310624592,0.6555260597866411,0.7160358466459464,0.6790320778874825,0.7573050936796205,0.5186721991701245,0.542366583298185,0.5552001407003139,0.6414902099760786,0.5964413690843939,0.693900043126168,0.3687018375815056,-0.1676181477642742,-0.10032591908632726
xception,magnitude,finetune,2025,0.695660923285552,0.6456660456066876,0.7076190476190476,0.6716456459041797,0.7476639992333126,0.5085178217056261,0.5294917115351779,0.5443288430147241,0.622076963050078,0.5931776099032452,0.6539364607791461,0.3969485322543233,-0.16616921175037402,-0.10133720259196355
xception,phase,finetune,42,0.5973188100163289,0.5784871418599922,0.7262538326176734,0.5786390317149748,0.9749772389668888,0.0453596556789773,0.5190495811430103,0.573271337257553,0.7227744690575146,0.5759803782088856,0.9699841870717332,0.0398443339089198,-0.07826922887331866,-0.0052158046024392
xception,phase,finetune,123,0.5933707941425685,0.5866103865411356,0.7098847098847099,0.5940199078198226,0.8819013848291725,0.1895569701811809,0.5101523100058174,0.5669013503932464,0.7098306507738364,0.5763765966607663,0.9237050170108774,0.0871369294605809,-0.08321848413675115,-0.019709036147889214
