model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
vit,frequency_3,finetune,celeb_df_video,0.44657303370786516,0.020114799233401905,0.35328185328185324,0.010031182283217427,0.5132332848883691,0.0009827545424458321,0.34617278466566936,0.002327920320858395,0.992134831460674,0.011649686153554861,0.01882352941176464,0.021371649558335228,0.0,0.0
vit,magnitude,finetune,celeb_df_video,0.4494018506278916,0.026439003594721733,0.35019305019305014,0.006043426966215663,0.5114674002024686,0.0013082009280859289,0.3448247951378106,0.0014594040860198725,0.9898876404494381,0.008332807288871516,0.015294117647058802,0.013054318247748314,0.0,0.0
vit,none,finetune,celeb_df_video,0.302230667547918,0.0393309451998659,0.3268983268983269,0.016136348024357747,0.42544820484097273,0.0713352377748113,0.29955834869662495,0.03493458996061154,0.7471910112359551,0.19728622177270982,0.10686274509803917,0.1201594480856355,0.0,0.0
vit,phase,finetune,celeb_df_video,0.4645538664904164,0.0179117977796057,0.3436293436293436,0.0,0.5114942528735632,0.0,0.3436293436293436,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xception,complex,finetune,celeb_df_video,0.4371645736946464,0.014779216846776454,0.3436293436293436,0.0,0.5114942528735632,0.0,0.3436293436293436,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xception,concat,finetune,celeb_df_video,0.41913747521480504,0.01913511011052235,0.33204633204633205,0.0038610038610038568,0.4949866388206151,0.007147796543437809,0.33434916844404766,0.003787930936622022,0.952808988764045,0.022331019004889728,0.00705882352941172,0.0076696498884737015,0.0,0.0
xception,concat_frequency,finetune,celeb_df_video,0.45784534038334435,0.020570246565483608,0.3416988416988417,0.002364372338593822,0.5084975358268661,0.0030150096020760677,0.3419882453400443,0.0017204229274601155,0.9910112359550561,0.008520084768597207,0.00176470588235292,0.001610948698544587,0.0,0.0
xception,frequency_3,finetune,celeb_df_video,0.4408261731658955,0.008389449033664958,0.3745173745173745,0.011005554296323727,0.47629300751403714,0.0059501281944268096,0.33438901138155835,0.0018909554845674805,0.8280898876404494,0.031680611640161074,0.13705882352941173,0.032526273649292364,0.0,0.0
xception,magnitude,finetune,celeb_df_video,0.4759748843357567,0.020968144741488573,0.37915057915057915,0.017136942873492017,0.48676876649859696,0.014737805647280599,0.3400403379512845,0.005541745242744657,0.8584269662921349,0.062357019889939774,0.128235294117647,0.05473275747196034,0.0,0.0
xception,none,finetune,celeb_df_video,0.3366259087904825,0.013044332972739412,0.3409266409266409,0.007551199697145902,0.5024403679418507,0.007882793567377934,0.33921141486438094,0.004679325607064489,0.9685393258426966,0.021612791080529586,0.01235294117647054,0.008675224237501559,0.0,0.0
xception,phase,finetune,celeb_df_video,0.4325082617316589,0.012982430555283144,0.34440154440154436,0.0029277511366994622,0.510097745061503,0.0018346365913711124,0.34316836680330187,0.001249617256210567,0.9932584269662922,0.004700337227719529,0.0047058823529411604,0.00446051496708914,0.0,0.0
