model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
mobilenet,phase,finetune,celeb_df_frame,0.46848406403760007,0.004500890146640549,0.5688545688545689,0.01700108727621993,0.26841297332346375,0.02798388410286273,0.3229267647904492,0.010063097838398169,0.23198501872659172,0.04028141687967991,0.7452156862745098,0.04561818539692381,1.6968689110923987,0.25974275685343406
resnet,complex,finetune,celeb_df_frame,0.4330092898582654,0.04327113308416492,0.438069498069498,0.07676838075240143,0.3732948147101295,0.04673071112238761,0.3090226062127585,0.01524627425199083,0.5016479400749063,0.14589603890525865,0.4047843137254901,0.1914890657028151,2.1464791554041573,0.5780771031663791
resnet,concat,finetune,celeb_df_frame,0.3853012704707351,0.03095950934202561,0.3426512226512226,0.01049935933902553,0.45555595095966916,0.024349906482387936,0.31826434676997695,0.012001588370648705,0.8029213483146067,0.07660224464197972,0.1016862745098039,0.043114655399160866,16.336223266987293,6.757607852072541
resnet,concat_frequency,finetune,celeb_df_frame,0.43440625688477635,0.023089961774053945,0.3371943371943371,0.00236962067432714,0.4919324062581228,0.003477156408702052,0.3339221064142729,0.0016550245486958424,0.9338576779026218,0.012981189122094356,0.02482352941176466,0.008070955993069284,28.850527163758375,16.28112803536414
resnet,frequency_3,finetune,celeb_df_frame,0.47841830799735624,0.013195938076131277,0.39979407979407977,0.018621667830505364,0.4716547054705278,0.006125928579609474,0.33826436959462036,0.00429095008508699,0.78,0.03647851632025096,0.20074509803921564,0.046106249425246576,7.850015005099847,3.6957502707708807
resnet,magnitude,finetune,celeb_df_frame,0.47365282367628697,0.017362590331420593,0.39711711711711706,0.024333277209475212,0.47173038315208426,0.0035818966060413493,0.33776679074775984,0.005808242116810521,0.7835205992509363,0.03692986453134465,0.19482352941176467,0.05583117711755157,8.460085215867633,1.7993088161581803
resnet,magnitude,scratch,celeb_df_frame,0.4584355952118675,0.023834624058564746,0.3796138996138996,0.03875942785267854,0.476117510127402,0.020382354610230264,0.33610782684593854,0.00399225568197568,0.8253932584269663,0.11156567232404925,0.14623529411764702,0.11640796824584858,4.941280037509032,2.923311057754597
resnet,none,finetune,celeb_df_frame,0.3292176764338694,0.026423257746363837,0.4108880308880309,0.053036447019748724,0.24723633594684916,0.03148965029119966,0.22195564973242327,0.008049031915305871,0.28606741573033706,0.06602678649145509,0.476235294117647,0.11429197990459061,4.410851148369371,0.5737274057084263
resnet,none,scratch,celeb_df_frame,0.4648125504883601,0.008046668854105075,0.5624967824967825,0.015852752959858513,0.22339482720922219,0.027094646151515057,0.2869202537679228,0.011647822248972248,0.18456928838951306,0.03399214291765649,0.7603529411764706,0.040611767356614245,3.931573646027367,0.08085159159981747
resnet,phase,finetune,celeb_df_frame,0.4281147829918484,0.003592062045929364,0.4036808236808237,0.013784919326380238,0.4013247708902864,0.018051809881379142,0.30638575133987783,0.005537638605357724,0.5834456928838951,0.055648801657826485,0.30956862745098035,0.049888842221875014,2.5485010344718324,1.3428814805765346
